ModelID,PatientID,CellLineName,FAM50A_dependency,FAM50B_expression
ACH-000007,PT-NOXwpH,LS513,-0.284655765890258,1.7246895579011394
ACH-000009,PT-puKIyc,C2BBe1,-1.5375001555304757,0.0476751835492033
ACH-000202,PT-UB7otW,COLO-320,-0.7884747759799269,0.7383951735042988
ACH-000249,PT-hYUBUD,CL-11,-1.5302728127887266,0.0129919449687206
ACH-000252,PT-XQHvQF,LS1034,-0.6904667848955562,1.8877631008601683
ACH-000253,PT-BLAWlD,COLO 201,-1.3500112702228684,0.0343777276564368
ACH-000286,PT-eQWzKj,SNU-1033,-0.758775982004869,0.0108242286869667
ACH-000296,PT-GezIUF,OUMS-23,-1.0681089689940573,0.7093462247365282
ACH-000350,PT-j0XD5z,COLO-678,-1.6220106345845484,0.0
ACH-000381,PT-3aeu41,T84,-1.3470526518618795,0.0093142041866499
ACH-000403,PT-cabct5,NCI-H747,-0.4897643562578331,4.280451579135785
ACH-000421,PT-M67oxD,SW837,-1.0393149697203747,0.1169036703157194
ACH-000467,PT-2RDjdA,HCC-56,-0.9489320157989968,0.0135051380312626
ACH-000470,PT-XPa83T,SW1463,-0.8672940746636021,2.325133086027722
ACH-000489,PT-EtFrRG,SW1116,-2.127662076310663,0.0644786748528882
ACH-000491,PT-5GhHA6,NCI-H716,-1.2756583374259245,0.2367522035980324
ACH-000501,PT-kCvNaO,LS123,-0.6259839501878863,0.0342960193698338
ACH-000532,PT-663aNr,SNU-61,-1.1379624013566374,0.0427773953781325
ACH-000552,PT-sF39aT,HT-29,-1.2370529655177558,0.0195894830252078
ACH-000565,PT-XIcCcb,RCM-1,-1.2346744822303428,0.0340100039187135
ACH-000651,PT-IPboWn,SW 620,-1.4369775854404765,1.7426875023425807
ACH-000683,PT-O04gFy,SNU-503,-0.2409986662043651,3.4970885831051444
ACH-000722,PT-04KbrE,SNU-C1,-1.137284631353363,0.0
ACH-000798,PT-maJywx,CL-40,-1.164701581866135,0.0092568666137151
ACH-000820,PT-EteVig,SW403,-0.3956186593303014,0.2649182968129834
ACH-000926,PT-vAncSZ,HT-55,-0.1551947594548276,2.997388162551586
ACH-000935,PT-snQqpb,MDST8,-1.4400274931570298,0.0183065753881264
ACH-000943,PT-9E5O4L,RKO,-1.8087932167815552,0.0
ACH-000950,PT-6USEGU,LoVo,-1.7936759642796751,0.0794525268317955
ACH-000957,PT-FXUrcz,LS 180,0.1073292361180467,3.132260961514309
ACH-000958,PT-EB6qeM,SW48,-2.424708567245299,0.2596629788904795
ACH-000959,PT-ulmNPq,SNU-C4,-1.7349930899181802,1.2046540846036649
ACH-000963,PT-c4ZGOD,CCK-81,0.0053801457522312,2.120915901320588
ACH-000969,PT-ue72rD,KM12,-1.755801275520837,0.023288003331501
ACH-000970,PT-B2n6IN,SNU-C5,-1.404491266109893,0.191366825036859
ACH-000971,PT-2Roqq2,HCT 116,-1.8121188310680671,0.4922469944777268
ACH-000985,PT-KI0Di1,LS411N,-1.2869687865708594,0.0524882357724114
ACH-000986,PT-EoHcfh,HT115,-1.201042479994065,0.0492404206110652
ACH-000991,PT-pBOr7s,SNU-81,-1.4251596599371998,0.083212006412312
ACH-000997,PT-i0VYNQ,HCT-15,-1.6598312940424442,0.0392801992968121
ACH-001061,PT-i0VYNQ,DLD-1,-1.4455268565035235,0.0
ACH-001345,PT-sGJOXH,GP5d,-0.3407984400963852,3.2653138656438663
ACH-001399,PT-V8yAFO,SW 626,-0.1903409587428942,3.348165836136721
ACH-001454,PT-LAy4cf,C10,-0.8207603826822114,3.619882485070316
ACH-001458,PT-gDrzwl,C75,-1.3541831487440974,0.0250727481671872
ACH-001459,PT-4HbM7P,C80,0.0193747694471969,1.509564106082096
ACH-001460,PT-7da898,C84,-0.5332089322154071,1.3698963664508488
ACH-001461,PT-3wMRZS,C99,-0.8244599027838098,1.935614381339265
ACH-001786,PT-LbUj3S,SNU-1544,0.5174642948571961,2.249445341085839
ACH-002024,PT-2Stxl0,ECC4,0.1246971000226374,2.476099083502758
ACH-002025,PT-mIVrGc,TT1TKB,-0.1803861439152506,3.0001172142103094
ACH-002535,PT-W0h0s9,SNU-254,-1.4788101638891749,0.0261555706313685
ACH-002538,PT-WkPESC,SNU-1235,-1.3859739777609814,0.0
ACH-002654,PT-anuBoi,JVE-015,-0.262042498914283,2.454318049561804
ACH-002659,PT-btmPL5,JVE-127,-0.2527606068238744,1.802557205898836
ACH-002660,PT-iZtOKB,JVE-187,-1.372964151880161,0.0
ACH-002662,PT-iwSeHI,JVE-207,-0.5079552015973935,1.8154893564204464
ACH-002664,PT-FT4DA3,JVE-253,-1.7590077802687365,0.0
ACH-002669,PT-53ZOQS,KP-363T,-0.9981777519458922,0.0
