iteration,RMSE,R2
1,0.7124011308494038,-0.2722238585573804
2,0.7317464845867756,-0.3422568372268695
3,0.7848179969463257,-0.5440175853781606
4,0.8208916222174646,-0.689219095822319
5,0.6980231067236845,-0.22138880259399651
6,1.067076623260646,-1.8543389708740943
7,1.1409664595158655,-2.2633232198867694
8,0.6646685314252225,-0.10745113059035094
9,0.6804467160012674,-0.16065348639263277
10,0.7919916436700938,-0.5723728423488066
11,0.7563756315574428,-0.43413287907995235
12,0.6809897721265386,-0.16250683210683503
13,0.705192160837284,-0.24660621351388268
14,0.7898966690329726,-0.5640653696557973
15,0.6579324585482205,-0.08511798197086962
16,0.6675234548530716,-0.1169851408910203
17,0.6379658623809308,-0.020256137148845887
18,0.7719243825339708,-0.493701625485341
19,0.7650269235977238,-0.46712721938683077
20,0.7412378159473325,-0.3773029286232681
21,0.6855779573503822,-0.17822443957001788
22,0.7386970458933041,-0.36787704012051514
23,0.7169264997213376,-0.2884382297074075
24,0.9232147643263183,-1.1365832429439253
25,0.73499623102195,-0.3542054572808644
26,0.6784296376222553,-0.15378253223380223
27,0.825087099650721,-0.7065300075391894
28,0.7514168123811361,-0.41539009206607824
29,0.7382898310520796,-0.36636934138756394
30,0.7316432760464994,-0.34187822905539034
31,1.1682811618926383,-2.4214412201717206
32,0.7761406857251273,-0.5100635874806734
33,0.6615816249904266,-0.09718839240542865
34,0.7655517322315509,-0.46914080898639976
35,1.0871192107063292,-1.9625703778617147
36,0.909050608094229,-1.0715263350218303
37,0.8445079386937377,-0.7878118369655898
38,0.6103173918202177,0.06626029319930149
39,0.7034093994060007,-0.24031121357181062
40,0.8588247661610708,-0.8489427119370938
41,0.7205652444482455,-0.3015503004496427
42,0.8431429132780881,-0.782037027281326
43,0.7888615390886903,-0.559968757691574
44,0.8692295506493107,-0.89401450274216
45,0.7822032099088834,-0.5337462825731616
46,0.7997904947696152,-0.6034920543440183
47,0.8176185773672949,-0.6757755001852679
48,0.6446216519772525,-0.04165550419231434
49,1.073220541915044,-1.887302512673692
50,0.7137114326604375,-0.2769081022708584
