ModelID,CellLineName,FAM50A_gene_effect,FAM50B_expression,FAM50B_group
ACH-000007,LS513,-0.284655765890258,1.7246895579011394,FAM50B high
ACH-000009,C2BBe1,-1.5375001555304757,0.0476751835492033,FAM50B low
ACH-000202,COLO-320,-0.7884747759799269,0.7383951735042988,FAM50B high
ACH-000249,CL-11,-1.5302728127887266,0.0129919449687206,FAM50B low
ACH-000252,LS1034,-0.6904667848955562,1.8877631008601683,FAM50B high
ACH-000253,COLO 201,-1.3500112702228684,0.0343777276564368,FAM50B low
ACH-000286,SNU-1033,-0.758775982004869,0.0108242286869667,FAM50B low
ACH-000296,OUMS-23,-1.0681089689940573,0.7093462247365282,FAM50B high
ACH-000350,COLO-678,-1.6220106345845484,0.0,FAM50B low
ACH-000381,T84,-1.3470526518618795,0.0093142041866499,FAM50B low
ACH-000403,NCI-H747,-0.4897643562578331,4.280451579135785,FAM50B high
ACH-000421,SW837,-1.0393149697203747,0.1169036703157194,FAM50B low
ACH-000467,HCC-56,-0.9489320157989968,0.0135051380312626,FAM50B low
ACH-000470,SW1463,-0.8672940746636021,2.325133086027722,FAM50B high
ACH-000489,SW1116,-2.127662076310663,0.0644786748528882,FAM50B low
ACH-000491,NCI-H716,-1.2756583374259245,0.2367522035980324,FAM50B high
ACH-000501,LS123,-0.6259839501878863,0.0342960193698338,FAM50B low
ACH-000532,SNU-61,-1.1379624013566374,0.0427773953781325,FAM50B low
ACH-000552,HT-29,-1.2370529655177558,0.0195894830252078,FAM50B low
ACH-000565,RCM-1,-1.2346744822303428,0.0340100039187135,FAM50B low
ACH-000651,SW 620,-1.4369775854404765,1.7426875023425807,FAM50B high
ACH-000683,SNU-503,-0.2409986662043651,3.4970885831051444,FAM50B high
ACH-000722,SNU-C1,-1.137284631353363,0.0,FAM50B low
ACH-000798,CL-40,-1.164701581866135,0.0092568666137151,FAM50B low
ACH-000820,SW403,-0.3956186593303014,0.2649182968129834,FAM50B high
ACH-000926,HT-55,-0.1551947594548276,2.997388162551586,FAM50B high
ACH-000935,MDST8,-1.4400274931570298,0.0183065753881264,FAM50B low
ACH-000943,RKO,-1.8087932167815552,0.0,FAM50B low
ACH-000950,LoVo,-1.7936759642796751,0.0794525268317955,FAM50B low
ACH-000957,LS 180,0.1073292361180467,3.132260961514309,FAM50B high
ACH-000958,SW48,-2.424708567245299,0.2596629788904795,FAM50B high
ACH-000959,SNU-C4,-1.7349930899181802,1.2046540846036649,FAM50B high
ACH-000963,CCK-81,0.0053801457522312,2.120915901320588,FAM50B high
ACH-000969,KM12,-1.755801275520837,0.023288003331501,FAM50B low
ACH-000970,SNU-C5,-1.404491266109893,0.191366825036859,FAM50B high
ACH-000971,HCT 116,-1.8121188310680671,0.4922469944777268,FAM50B high
ACH-000985,LS411N,-1.2869687865708594,0.0524882357724114,FAM50B low
ACH-000986,HT115,-1.201042479994065,0.0492404206110652,FAM50B low
ACH-000991,SNU-81,-1.4251596599371998,0.083212006412312,FAM50B low
ACH-000997,HCT-15,-1.6598312940424442,0.0392801992968121,FAM50B low
ACH-001061,DLD-1,-1.4455268565035235,0.0,FAM50B low
ACH-001345,GP5d,-0.3407984400963852,3.2653138656438663,FAM50B high
ACH-001399,SW 626,-0.1903409587428942,3.348165836136721,FAM50B high
ACH-001454,C10,-0.8207603826822114,3.619882485070316,FAM50B high
ACH-001458,C75,-1.3541831487440974,0.0250727481671872,FAM50B low
ACH-001459,C80,0.0193747694471969,1.509564106082096,FAM50B high
ACH-001460,C84,-0.5332089322154071,1.3698963664508488,FAM50B high
ACH-001461,C99,-0.8244599027838098,1.935614381339265,FAM50B high
ACH-001786,SNU-1544,0.5174642948571961,2.249445341085839,FAM50B high
ACH-002024,ECC4,0.1246971000226374,2.476099083502758,FAM50B high
ACH-002025,TT1TKB,-0.1803861439152506,3.0001172142103094,FAM50B high
ACH-002535,SNU-254,-1.4788101638891749,0.0261555706313685,FAM50B low
ACH-002538,SNU-1235,-1.3859739777609814,0.0,FAM50B low
ACH-002654,JVE-015,-0.262042498914283,2.454318049561804,FAM50B high
ACH-002659,JVE-127,-0.2527606068238744,1.802557205898836,FAM50B high
ACH-002660,JVE-187,-1.372964151880161,0.0,FAM50B low
ACH-002662,JVE-207,-0.5079552015973935,1.8154893564204464,FAM50B high
ACH-002664,JVE-253,-1.7590077802687365,0.0,FAM50B low
ACH-002669,KP-363T,-0.9981777519458922,0.0,FAM50B low
